date,max_temp,min_temp
2025-12-10,26.7,14.4
2025-12-11,26.2,13.5
2025-12-12,26.3,12.9
2025-12-13,26.7,14.0
2025-12-14,26.0,13.3
2025-12-15,26.1,13.6
2025-12-16,25.6,15.8
2025-12-17,26.7,13.6
