date,max_temp,min_temp,avg_temp
2025-12-10,15.0,9.1,12.05
2025-12-11,11.0,4.9,7.95
2025-12-12,12.5,9.6,11.05
2025-12-13,10.3,8.3,9.3
2025-12-14,8.1,5.3,6.699999999999999
2025-12-15,11.5,4.9,8.2
2025-12-16,14.6,10.1,12.35
2025-12-17,10.8,6.0,8.4
